A,B,C,prob,,,,,,,,,,,,,
a,b,c,x,0.6,,,,,,,,,,,,
d,b,e,y,0.5,,,,,,,,,,,,
f,g,e,z,0.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
def` _ q(R) = ¹ac ¹abR I ¹bcR _ ¹acR I ¹bcR ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ac ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ac ,(b1 _b1)_(b1 _b1) ,,,,,,,,,AND,,,,OR,,
,,b1,x,0.6,,,,,,x,y,,,x,y,
ae ,b1 _ b2 ,,,,,,,,,0,0,0,,0,0,0
,,x intersection y,1-(1-x)(1-y),0.8,,,,,,0,1,0,,1,0,1
dc ,b1 _ b2 ,,,,,,,,,1,0,0,,0,1,1
,,x intersection y,1-(1-x)(1-y),0.8,,,,,,1,1,1,,1,1,1
de ,(b2 _b2)_(b2 _b2)_(b2 _b3) ,,,,,,,,,,,,,,,
,,b2,y,,,,,,,,,,,,,
fe ,(b3 _b3)_(b3 _b3)_(b2 _b3) ,,,,,,,,,,,,,,,
,,b3,z,,,,,,,,,,,,,